SentID	FRAME	ARG0	ARG1	ARG2	ARG3	ARG3-adj	ARG4	ARG5	ARG6	ARG7	ARG8	REL	TARGETFORM	SUPPORT	SUPPORT	SUPPORT-ARGM-ADJ
помощь_66	help.02					максимальной,						помощь	OTHER	YES	нуждается	
помощь_67	help.02	решению	платные									помощью	INS			
помощь_68	help.01		щепок									помощью	INS			
помощь_69	help.02	Логуновы.					нему					помощи	LOC			
помощь_7	help.01	вещества:	активированного									помощи	LOC			
помощь_70	help.01		ученых									помощь	OTHER			
помощь_71	help.02		Шефы	оборудовании								помощи	LOC	YES	оказывали	
помощь_72	help.02	ссылочным.		монетизации								помощью	INS			
помощь_73	help.02		правозащитнику			экстренной						помощь	OTHER	YES	обращаться	
помощь_74	help.02	для				Высокотехнологичная						помощи	LOC			
помощь_75	help.01		кондитерского									помощь	OTHER			
помощь_76	help.02	Варина										помощью	INS			
помощь_77	help.01		здорового									помощь	OTHER			
помощь_78	help.02	Илльяне,	Он									помощь	OTHER			
помощь_79	help.02		производители									помощи	LOC			
помощь_8	help.01	вы	фруктов			посторонней						помощи	LOC	YES	возводить	разнообразить
помощь_80	help.02			борьбе		материальной,						помощью	INS	YES	оказании	
помощь_81	help.01		советского									помощью	INS			
помощь_82	help.01		советских									помощь	OTHER			
помощь_83	help.02	оппозиции	со									помощи	LOC	YES	усилилась	
помощь_84	help.02											помощью	INS			
помощь_85	help.01		колокольчика									помощью	INS			
помощь_86	help.01		преобразователя									помощи	LOC			
помощь_87	help.01		боровой									помощью	INS			
помощь_88	help.01		трав.									помощи	LOC			
помощь_89	help.02											помощи	LOC			
помощь_9	help.02						специалистов,					помощи	LOC			
помощь_90	help.2											помощи	LOC			
помощь_91	help.02											помощью	INS			
помощь_92	help.01	приватизация	допэмиссии,									помощь	OTHER			
помощь_93	help.02					финансовую						помощь	OTHER			
помощь_94	help.02											помощи	LOC	YES	прийти	
помощь_95	help.01		активированного									помощи	LOC			
помощь_96	help.02					медицинской						помощи	LOC			
помощь_97	help.02											помощь	OTHER			
помощь_98	help.02	врачам										помощью	INS			
помощь_99	help.01		простой									помощью	INS			
